Id	Label
1	Britannica
1899	Life on Earth
1901	The Nature and Diversity of Living Things
2067	The Molecular Basis of Vital Processes
2170	The Structures and Functions of Organisms
2569	Behavioral Responses of Organisms
2618	The Biosphere: the World of Living Things
1903	Characteristics of Living Things
1920	The Origin of Life and the Evolution of Living Things
1964	The Classification of Living Things
2069	Chemicals and the Vital Processes
2131	Metabolism: Bioenergetics and Biosynthesis
2147	Vital Processes at the Molecular Level
2172	The Cellular Basis of Form and Function
2216	The Relation of Form and Function in Organisms
2265	Coordination of Vital Processes: Regulation and Integration
2328	Covering and Support: Integumentary, Skeletal, and Musculatory Systems
2387	Nutrition: the Procurement and Processing of Nutrients
2409	Gas Exchange, Internal Transport, and Elimination
2453	Reproduction and Sex
2511	Development: Growth, Differentiation, and Morphogenesis
2553	Heredity: the Transmission of Traits
2571	Nature and Patterns of Behavioral Responses
2590	Development and Range of Behavioral Capacities: Individual and Group Behaviour
2620	Basic Features of the Biosphere
2660	Biological Populations and Communities
2711	Hazards of Life in the Biosphere: Disease and Death
2726	Biogeographic Distribution of Organisms: Ecosystems
2770	The Place of Humans in the Biosphere
1904	The concept of life on Earth
1916	Life beyond the Earth
1921	Stages in the emergence of life
1933	The theory of evolution
1945	The process of evolution
1953	The origin of species and the process of speciation
1965	Viruses
1967	Monerans: bacteria and other prokaryotes
1969	Protists
1973	Fungi
1975	Plants
1994	Animals
2070	The inorganic milieu of living systems
2071	Organic chemicals participating naturally in the life processes
2099	Drugs
2124	Ethyl alcohol, alcohol consumption
2125	Biocides and biorepellents
2130	The selective concentration of chemicals by organisms
2132	Photosynthesis: the initiation of energy conversion in the biosphere
2140	Metabolism: the totality of all chemical processes in the living organism
2146	The nitrogen cycle: nitrogen fixation, nitrification and denitrification
2148	The cell membrane
2155	Bioelectricity
2156	The nerve impulse
2161	Muscle contraction
2166	Bioluminescence
2173	Cell theory and classification
2185	Cell design and cell organization
2194	Functional aspects of cells
2201	The cell cycle
2211	Fertilization
2217	Biological form and function
2218	Plant tissues and fluids: classification, organization, main functions
2231	Organs of plants: tissue organization, functions, and types
2245	Animal tissues and fluids: classification, organization, and main functions
2253	Animal organs and organ systems
2266	Maintenance of steady states in biological systems: homeostasis
2274	Information reception and processing: sensory reception
2283	Endocrine systems in animals
2296	Nervous systems in animals
2321	The biological clock: periodicity
2329	The body covering
2348	The body skeleton
2369	The body musculature
2388	The basic features of nutrition
2396	Photosynthesis: the production of food in green plants
2397	Digestion and digestive systems
2410	Respiration and respiratory systems
2426	Circulation and circulatory systems
2444	Elimination: the disposal of wastes
2454	The forms of reproduction and their comparative adaptive significance
2464	Sex and sexuality
2480	The reproductive system in plants: its organization and function
2496	The reproductive system in animals: its organization and function
2512	The nature and scope of biological development
2513	The constituent processes of development and their control
2518	Development of plants
2531	Development of animals
2542	Aging and decline in animals: life span, death 
2546	Specialized patterns of development
2554	Basic features of heredity
2559	The physical basis of heredity
2563	Heredity and evolution 
2572	Diverse conceptions of animal behaviour
2576	Patterns of stereotyped response
2581	Hormonal and nervous control of behaviour
2586	Evolution of behaviour
2591	Basic behavioral activities of individuals
2598	Higher behavioral characteristics of individual animals
2612	The behaviour of animals in groups
2617	Evolution of behaviour 
2621	The extent of the biosphere
2638	The ecosystem: a collection of integrated communities and their environment
2661	Biological populations
2678	Biotic interactions
2689	Biological communities
2712	Disease as a departure from the 'normal' state, or a disruption of homeostasis
2723	Plant diseases
2724	Animal diseases
2725	Human diseases 
2727	Terrestrial ecosystems
2741	Aquatic ecosystems
2758	The distribution of organisms
2759	Biogeographic regions and their inhabitants: regional floras and faunas
2771	The qualities that set human beings apart in the biosphere
2777	The effects of human action upon the biosphere
2781	The utilization of organisms by humans
2797	The conservation and management of natural resources
1905	Properties of life
1911	Levels of biotic organization
1917	The concept of extraterrestrial life and its chemistry
1918	The significance of the search for life beyond Earth
1919	Exobiological survey of the solar system: physical environments and biological prospects
1922	Hypotheses about the origin of life
1923	Steps in the production of chemical precursors of life
1928	The earliest living systems
1932	The antiquity of life: evidence of biological activity in the geological record
1934	The history of evolutionary theory
1940	The evidence for evolution
1946	Genetic variation through gene or chromosomal mutation
1947	Changes in gene frequencies within a population through gene mutation, gene migration, and genetic drift
1948	Natural selection
1954	The distinctiveness of species
1955	The criterion of reproductive isolation
1956	The properties Of species
1957	Modes of speciation (e.g., geographic speciation, adaptive radiation, quantum speciation)
1958	Genetic differentiation during speciation
1959	Patterns and rates of species evolution
1963	The relationship between species and other taxonomic categories: family, order, class, phylum
1970	Algae
1971	Protozoan
1972	Slime molds
1976	Bryophytes
1980	Psilotophytes, or whisk ferns
1981	Lycophytes (club mosses and allies)
1982	Sphenophytes, or horsetails
1983	Filicophytes, or ferns
1987	Conifers
1988	Ginkgos
1989	Cycads
1990	Gnetophytes
1991	Angiosperms (magnoliophytes), or flowering plants
1995	Placozoans
1996	Porifera, or sponges
2000	Mesozoans
2003	Cnidarians, or coelenterates
2008	Ctenophores, or comb jellies
2009	Platyhelminthes, or flatworms
2015	Nemerteans, or ribbon worms
2016	Acanthocephalans, or spiny-headed worms
2017	Aschelminthes
2023	Priapulids
2024	Annelid worms
2028	Tardigrades, or water bears
2029	Onychophorans, or velvet worms
2030	Arthropods
2034	Mollusks
2043	Bryozoans, or moss animals
2047	Phoronids, or horseshoe worms
