Id	Label
1	Britannica
4829	Technology
4898	Elements of Technology
4900	Technology of Energy Conversion and Utilization
4945	Technology of Tools and Machines
4997	Technology of Measurement, Observation, and Control
5053	Extraction and Conversion of Industrial Raw Materials
5115	Technology of Industrial Production Processes
4901	Major types of energy useful to mankind
4905	Devices and techniques for the utilization of energy
4931	Devices for energy conversion
4940	Devices for energy concentration and control
4944	Devices for unlimited production of free energy: attempts to design perpetual motion machines
4946	Hand tools
4957	Machines and machine components
4979	Machine tools
4987	Computer-aided machining
4992	Nonconventional methods of machining
4998	Theory of measurement
4999	Units and standards of measurement
5002	Principles and processes by which instruments of measurement operate
5003	Common types of measuring instruments
5022	Instruments used for observing and recording
5031	Special instruments and apparatus used in scientific research
5039	Major systems of measurement and observation
5048	Instrumentation and control systems
5054	The world's physical and biological resources
5060	Technology of the extraction industries
5066	Primary conversion of raw materials
5116	Materials processing
5146	Metallurgy
5181	Materials handling in the production process
5187	Technology of packaging
4902	Primary energy sources: thermonuclear reaction, nuclear fission, radioactivity
4903	Recurring energy sources: solar energy, natural thermal energy, wind and water energy
4904	Nonrenewable energy sources: coal, gas, petroleum
4906	Devices for utilizing muscle energy: pulley, lever, block and tackle, treadmill
4908	Devices for utilizing wind and water energy: sails and sailboats, windmills, waterwheels, turbines
4910	Devices for utilizing gravitational energy: pendulums, counterweight mechanisms
4912	Devices for utilizing strain and compression energy
4917	Devices for utilizing magnetic and electrical energy
4920	Devices for utilizing rotational energy: centrifuges, gyroscopes
4922	Devices for utilizing heat energy: heat exchangers, refrigeration equipment
4924	Devices for utilizing chemical energy
4929	Devices and materials for utilizing nuclear energy: nuclear reactors, radioactive isotopes 
4932	Thermoelectric devices
4933	Thermionic devices
4934	Magnetohydrodynamic and electrogasdynamic devices
4935	Batteries and fuel cells
4936	Lamps and other lighting devices
4937	X-ray tubes 
4938	Devices for electric power generation
4941	Electron tubes
4942	Solid-state devices; e.g., transistors, semiconductor diodes, integrated circuits
4943	Optoelectronic devices; e.g., liquid-crystal displays, optical fibres, semiconductor lasers
4947	Early history of hand tools: Paleolithic and Neolithic stone tools, development of metal tools
4949	Basic types of hand tools
4955	Power-driven hand tools: electric drills and circular saws, pneumatic hammers and riveters
4958	Simple machines: lever, wedge, wheel and axle, pulley, and screw
4960	Machine mechanisms
4963	Machine components
4976	Friction accommodation and reduction
4981	History and characteristics of machine tools
4982	Operation of metal-cutting tools
4983	Basic machine tools
4985	Modifications of basic machines; e.g., turret lathes, production millers
4986	Special-purpose machines; e.g., gear-cutting machines, broaching machines
4988	Computer numerical control
4989	Computer-aided design and computer-aided manufacturing (CADCAM)
4990	Robots
4991	Computer-integrated manufacturing
4993	Electrical methods
4995	Other methods
5000	Systems of weights and measures: standards for the measurement of mass and length
5001	Standards and techniques for measurement of time
5004	Instruments for measuring basic dimensions
5012	Instruments for measuring physical properties and relationships derived from basic dimensions
5023	Instruments for observing phenomena
5029	Instruments for recording phenomena: cameras
5032	General laboratory equipment: filters, mixers, centrifuges
5033	Research reactors
